"first_name","last_name","amount"
"Gordon","Allard","4.99"
"Gordon","Allard","3.99"
"Gordon","Allard","2.99"
"Gordon","Allard","4.99"
"Gordon","Allard","10.99"
"Gordon","Allard","5.99"
"Gordon","Allard","4.99"
"Gordon","Allard","8.99"
"Gordon","Allard","6.99"
"Gordon","Allard","5.99"
"Gordon","Allard","2.99"
"Gordon","Allard","4.99"
"Shirley","Allen","4.99"
"Shirley","Allen","4.99"
"Shirley","Allen","2.99"
"Shirley","Allen","3.99"
"Shirley","Allen","2.99"
"Shirley","Allen","4.99"
"Shirley","Allen","1.99"
"Shirley","Allen","3.99"
"Shirley","Allen","7.99"
"Shirley","Allen","4.99"
"Shirley","Allen","0.99"
"Shirley","Allen","8.99"
"Shirley","Allen","6.99"
"Shirley","Allen","5.99"
"Shirley","Allen","0.99"
"Shirley","Allen","2.99"
"Shirley","Allen","4.99"
"Shirley","Allen","0.99"
"Shirley","Allen","0.99"
"Shirley","Allen","5.99"
"Shirley","Allen","0.99"
"Shirley","Allen","4.99"
"Shirley","Allen","0.99"
"Shirley","Allen","5.99"
"Shirley","Allen","4.99"
"Shirley","Allen","1.99"
"Shirley","Allen","0.99"
"Shirley","Allen","5.99"
"Shirley","Allen","7.99"
"Shirley","Allen","4.99"
"Charlene","Alvarez","0.99"
"Charlene","Alvarez","4.99"
"Charlene","Alvarez","4.99"
"Charlene","Alvarez","0.99"
"Charlene","Alvarez","3.99"
"Charlene","Alvarez","4.99"
"Charlene","Alvarez","2.99"
"Charlene","Alvarez","4.99"
"Charlene","Alvarez","4.99"
"Charlene","Alvarez","2.99"
"Charlene","Alvarez","2.99"
"Charlene","Alvarez","4.99"
"Charlene","Alvarez","4.99"
"Charlene","Alvarez","2.99"
"Charlene","Alvarez","2.99"
"Charlene","Alvarez","2.99"
"Charlene","Alvarez","0.99"
"Charlene","Alvarez","0.99"
"Charlene","Alvarez","8.99"
"Charlene","Alvarez","9.99"
"Charlene","Alvarez","2.99"
"Charlene","Alvarez","4.99"
"Charlene","Alvarez","7.99"
"Charlene","Alvarez","10.99"
"Charlene","Alvarez","2.99"
"Lisa","Anderson","6.99"
"Lisa","Anderson","7.99"
"Lisa","Anderson","0.99"
"Lisa","Anderson","4.99"
"Lisa","Anderson","6.99"
"Lisa","Anderson","0.99"
"Lisa","Anderson","5.99"
"Lisa","Anderson","0.99"
"Lisa","Anderson","4.99"
"Lisa","Anderson","0.99"
"Lisa","Anderson","2.99"
"Lisa","Anderson","2.99"
"Lisa","Anderson","4.99"
"Lisa","Anderson","5.99"
"Lisa","Anderson","6.99"
"Lisa","Anderson","4.99"
"Lisa","Anderson","4.99"
"Lisa","Anderson","2.99"
"Lisa","Anderson","1.99"
"Lisa","Anderson","0.99"
"Lisa","Anderson","9.99"
"Lisa","Anderson","6.99"
"Lisa","Anderson","0.99"
"Jose","Andrew","0.99"
"Jose","Andrew","4.99"
"Jose","Andrew","0.99"
"Jose","Andrew","2.99"
"Jose","Andrew","4.99"
"Jose","Andrew","2.99"
"Jose","Andrew","0.99"
"Jose","Andrew","7.99"
"Jose","Andrew","5.99"
"Jose","Andrew","2.99"
"Jose","Andrew","2.99"
"Jose","Andrew","4.99"
"Jose","Andrew","5.99"
"Jose","Andrew","4.99"
"Jose","Andrew","2.99"
"Jose","Andrew","0.99"
"Jose","Andrew","0.99"
"Jose","Andrew","4.99"
"Ida","Andrews","0.99"
"Ida","Andrews","1.99"
"Ida","Andrews","5.99"
"Ida","Andrews","5.99"
"Ida","Andrews","5.99"
"Ida","Andrews","2.99"
"Ida","Andrews","0.99"
"Ida","Andrews","3.99"
"Ida","Andrews","3.99"
"Ida","Andrews","2.99"
"Ida","Andrews","4.99"
"Ida","Andrews","2.99"
"Ida","Andrews","0.99"
"Ida","Andrews","2.99"
"Ida","Andrews","1.99"
"Ida","Andrews","0.99"
"Ida","Andrews","4.99"
"Ida","Andrews","4.99"
"Ida","Andrews","0.99"
"Ida","Andrews","5.99"
"Ida","Andrews","4.99"
"Ida","Andrews","2.99"
"Oscar","Aquino","4.99"
"Oscar","Aquino","0.99"
"Oscar","Aquino","2.99"
"Oscar","Aquino","2.99"
"Oscar","Aquino","4.99"
"Oscar","Aquino","6.99"
"Oscar","Aquino","6.99"
"Oscar","Aquino","4.99"
"Oscar","Aquino","7.99"
"Oscar","Aquino","0.99"
"Oscar","Aquino","8.99"
"Oscar","Aquino","3.99"
"Oscar","Aquino","2.99"
"Oscar","Aquino","6.99"
"Oscar","Aquino","3.99"
"Oscar","Aquino","2.99"
"Oscar","Aquino","5.99"
"Harry","Arce","0.99"
"Harry","Arce","9.99"
"Harry","Arce","4.99"
"Harry","Arce","4.99"
"Harry","Arce","4.99"
"Harry","Arce","4.99"
"Harry","Arce","8.99"
"Harry","Arce","1.99"
"Harry","Arce","0.99"
"Harry","Arce","2.99"
"Harry","Arce","4.99"
"Harry","Arce","8.99"
"Harry","Arce","2.99"
"Harry","Arce","0.99"
"Harry","Arce","7.99"
"Harry","Arce","1.99"
"Harry","Arce","7.99"
"Harry","Arce","2.99"
"Harry","Arce","2.99"
"Harry","Arce","4.99"
"Harry","Arce","0.99"
"Harry","Arce","0.99"
"Harry","Arce","8.99"
"Harry","Arce","4.99"
"Harry","Arce","5.99"
"Harry","Arce","2.99"
"Harry","Arce","4.99"
"Harry","Arce","0.99"
"Harry","Arce","2.99"
"Harry","Arce","5.99"
"Harry","Arce","6.99"
"Jordan","Archuleta","4.99"
"Jordan","Archuleta","1.99"
"Jordan","Archuleta","4.99"
"Jordan","Archuleta","4.99"
"Jordan","Archuleta","7.99"
"Jordan","Archuleta","7.99"
"Jordan","Archuleta","4.99"
"Jordan","Archuleta","5.99"
"Jordan","Archuleta","1.99"
"Jordan","Archuleta","4.99"
"Jordan","Archuleta","2.99"
"Jordan","Archuleta","2.99"
"Jordan","Archuleta","6.99"
"Jordan","Archuleta","4.99"
"Jordan","Archuleta","2.99"
"Jordan","Archuleta","9.99"
"Jordan","Archuleta","0.99"
"Jordan","Archuleta","2.99"
"Jordan","Archuleta","4.99"
"Jordan","Archuleta","2.99"
"Jordan","Archuleta","4.99"
"Jordan","Archuleta","3.99"
"Jordan","Archuleta","2.99"
"Jordan","Archuleta","5.99"
"Jordan","Archuleta","4.99"
"Jordan","Archuleta","0.99"
"Jordan","Archuleta","5.99"
"Jordan","Archuleta","5.98"
"Jordan","Archuleta","0.00"
"Melanie","Armstrong","2.99"
"Melanie","Armstrong","0.99"
"Melanie","Armstrong","4.99"
"Melanie","Armstrong","4.99"
"Melanie","Armstrong","5.99"
"Melanie","Armstrong","0.99"
"Melanie","Armstrong","4.99"
"Melanie","Armstrong","4.99"
"Melanie","Armstrong","2.99"
"Melanie","Armstrong","2.99"
"Melanie","Armstrong","5.99"
"Melanie","Armstrong","2.99"
"Melanie","Armstrong","2.99"
"Melanie","Armstrong","2.99"
"Melanie","Armstrong","0.99"
"Melanie","Armstrong","4.99"
"Melanie","Armstrong","3.99"
"Melanie","Armstrong","2.99"
"Melanie","Armstrong","2.99"
"Melanie","Armstrong","5.99"
"Melanie","Armstrong","4.99"
"Melanie","Armstrong","0.99"
"Melanie","Armstrong","4.99"
"Melanie","Armstrong","4.99"
"Melanie","Armstrong","2.99"
"Beatrice","Arnold","0.99"
"Beatrice","Arnold","8.99"
"Beatrice","Arnold","5.99"
"Beatrice","Arnold","0.99"
"Beatrice","Arnold","3.99"
"Beatrice","Arnold","3.99"
"Beatrice","Arnold","0.99"
"Beatrice","Arnold","6.99"
"Beatrice","Arnold","8.99"
"Beatrice","Arnold","2.99"
"Beatrice","Arnold","7.99"
"Beatrice","Arnold","4.99"
"Beatrice","Arnold","4.99"
"Beatrice","Arnold","4.99"
"Beatrice","Arnold","0.99"
"Beatrice","Arnold","0.99"
"Beatrice","Arnold","4.99"
"Beatrice","Arnold","7.99"
"Beatrice","Arnold","2.99"
"Beatrice","Arnold","7.99"
"Beatrice","Arnold","2.99"
"Beatrice","Arnold","2.99"
"Beatrice","Arnold","9.99"
"Kent","Arsenault","0.99"
"Kent","Arsenault","2.99"
"Kent","Arsenault","4.99"
"Kent","Arsenault","4.99"
"Kent","Arsenault","5.99"
"Kent","Arsenault","4.99"
"Kent","Arsenault","4.99"
"Kent","Arsenault","5.99"
"Kent","Arsenault","5.99"
"Kent","Arsenault","2.99"
"Kent","Arsenault","3.99"
"Kent","Arsenault","9.99"
"Kent","Arsenault","0.99"
"Kent","Arsenault","11.99"
"Kent","Arsenault","6.99"
"Kent","Arsenault","5.99"
"Kent","Arsenault","6.99"
"Kent","Arsenault","8.99"
"Kent","Arsenault","2.99"
"Kent","Arsenault","4.99"
"Kent","Arsenault","3.99"
"Kent","Arsenault","0.99"
"Kent","Arsenault","4.99"
"Kent","Arsenault","3.99"
"Kent","Arsenault","5.99"
"Kent","Arsenault","4.99"
"Kent","Arsenault","0.99"
"Carl","Artis","0.99"
"Carl","Artis","4.99"
"Carl","Artis","0.99"
"Carl","Artis","4.99"
"Carl","Artis","4.99"
"Carl","Artis","2.99"
"Carl","Artis","4.99"
"Carl","Artis","4.99"
"Carl","Artis","10.99"
"Carl","Artis","4.99"
"Carl","Artis","2.99"
"Carl","Artis","2.99"
"Carl","Artis","4.99"
"Carl","Artis","3.99"
"Carl","Artis","7.99"
"Carl","Artis","6.99"
"Carl","Artis","2.99"
"Carl","Artis","8.99"
"Carl","Artis","4.99"
"Carl","Artis","2.99"
"Carl","Artis","8.99"
"Darryl","Ashcraft","1.99"
"Darryl","Ashcraft","0.99"
"Darryl","Ashcraft","2.99"
"Darryl","Ashcraft","4.99"
"Darryl","Ashcraft","0.99"
"Darryl","Ashcraft","4.99"
"Darryl","Ashcraft","2.99"
"Darryl","Ashcraft","4.99"
"Darryl","Ashcraft","5.99"
"Darryl","Ashcraft","5.99"
"Darryl","Ashcraft","0.99"
"Darryl","Ashcraft","2.99"
"Darryl","Ashcraft","4.99"
"Darryl","Ashcraft","0.99"
"Darryl","Ashcraft","3.99"
"Darryl","Ashcraft","1.99"
"Darryl","Ashcraft","4.99"
"Darryl","Ashcraft","4.99"
"Darryl","Ashcraft","0.99"
"Darryl","Ashcraft","4.99"
"Darryl","Ashcraft","3.99"
"Darryl","Ashcraft","2.99"
"Tyrone","Asher","2.99"
"Tyrone","Asher","4.99"
"Tyrone","Asher","2.99"
"Tyrone","Asher","3.99"
"Tyrone","Asher","3.99"
"Tyrone","Asher","8.99"
"Tyrone","Asher","3.99"
"Tyrone","Asher","4.99"
"Tyrone","Asher","6.99"
"Tyrone","Asher","8.99"
"Tyrone","Asher","4.99"
"Tyrone","Asher","6.99"
"Tyrone","Asher","0.99"
"Tyrone","Asher","2.99"
"Tyrone","Asher","3.99"
"Tyrone","Asher","4.99"
"Tyrone","Asher","4.99"
"Tyrone","Asher","2.99"
"Tyrone","Asher","7.99"
"Tyrone","Asher","2.99"
"Tyrone","Asher","6.99"
"Tyrone","Asher","0.99"
"Tyrone","Asher","4.99"
"Tyrone","Asher","2.99"
"Alma","Austin","5.99"
"Alma","Austin","2.99"
"Alma","Austin","0.99"
"Alma","Austin","0.99"
"Alma","Austin","4.99"
"Alma","Austin","4.99"
"Alma","Austin","5.99"
"Alma","Austin","4.99"
"Alma","Austin","2.99"
"Alma","Austin","0.99"
"Alma","Austin","0.99"
"Alma","Austin","0.99"
"Alma","Austin","8.99"
"Alma","Austin","5.99"
"Alma","Austin","5.99"
"Alma","Austin","0.99"
"Alma","Austin","2.99"
"Alma","Austin","4.99"
"Alma","Austin","4.99"
"Alma","Austin","3.99"
"Alma","Austin","4.99"
"Alma","Austin","4.99"
"Alma","Austin","3.99"
"Alma","Austin","0.99"
"Alma","Austin","1.99"
"Alma","Austin","0.99"
"Alma","Austin","5.99"
"Alma","Austin","6.99"
"Alma","Austin","4.99"
"Alma","Austin","10.99"
"Alma","Austin","4.99"
"Mildred","Bailey","4.99"
"Mildred","Bailey","4.99"
"Mildred","Bailey","0.99"
"Mildred","Bailey","4.99"
"Mildred","Bailey","8.99"
"Mildred","Bailey","1.99"
"Mildred","Bailey","7.99"
"Mildred","Bailey","2.99"
"Mildred","Bailey","2.99"
"Mildred","Bailey","5.99"
"Mildred","Bailey","0.99"
"Mildred","Bailey","2.99"
"Mildred","Bailey","2.99"
"Mildred","Bailey","2.99"
"Mildred","Bailey","5.99"
"Mildred","Bailey","0.99"
"Mildred","Bailey","3.99"
"Mildred","Bailey","0.99"
"Mildred","Bailey","4.99"
"Mildred","Bailey","4.99"
"Mildred","Bailey","9.98"
"Mildred","Bailey","0.00"
"Pamela","Baker","4.99"
"Pamela","Baker","1.99"
"Pamela","Baker","3.99"
"Pamela","Baker","2.99"
"Pamela","Baker","3.99"
"Pamela","Baker","7.99"
"Pamela","Baker","4.99"
"Pamela","Baker","0.99"
"Pamela","Baker","3.99"
"Pamela","Baker","8.99"
"Pamela","Baker","0.99"
"Pamela","Baker","2.99"
"Pamela","Baker","3.99"
"Pamela","Baker","0.99"
"Pamela","Baker","0.99"
"Pamela","Baker","7.99"
"Pamela","Baker","5.99"
"Pamela","Baker","5.99"
"Pamela","Baker","0.99"
"Pamela","Baker","9.99"
"Pamela","Baker","5.99"
"Martin","Bales","7.99"
"Martin","Bales","2.99"
"Martin","Bales","2.99"
"Martin","Bales","2.99"
"Martin","Bales","7.99"
"Martin","Bales","2.99"
"Martin","Bales","4.99"
"Martin","Bales","4.99"
"Martin","Bales","0.99"
"Martin","Bales","0.99"
"Martin","Bales","2.99"
"Martin","Bales","4.99"
"Martin","Bales","4.99"
"Martin","Bales","4.99"
"Martin","Bales","1.99"
"Martin","Bales","6.99"
"Martin","Bales","5.99"
"Martin","Bales","4.99"
"Martin","Bales","0.99"
"Martin","Bales","4.99"
"Martin","Bales","3.99"
"Martin","Bales","2.99"
"Martin","Bales","0.99"
"Martin","Bales","0.99"
"Martin","Bales","0.99"
"Everett","Banda","4.99"
"Everett","Banda","0.99"
"Everett","Banda","4.99"
"Everett","Banda","1.99"
"Everett","Banda","3.99"
"Everett","Banda","8.99"
"Everett","Banda","0.99"
"Everett","Banda","1.99"
"Everett","Banda","1.99"
"Everett","Banda","6.99"
"Everett","Banda","4.99"
"Everett","Banda","5.99"
"Everett","Banda","4.99"
"Everett","Banda","4.99"
"Everett","Banda","4.99"
"Everett","Banda","4.99"
"Everett","Banda","5.99"
"Everett","Banda","4.99"
"Everett","Banda","7.99"
"Everett","Banda","1.99"
"Everett","Banda","4.99"
"Everett","Banda","2.99"
"Everett","Banda","1.99"
"Everett","Banda","1.99"
"Everett","Banda","1.99"
"Everett","Banda","0.99"
"Everett","Banda","2.99"
"Everett","Banda","2.99"
"Jessie","Banks","4.99"
"Jessie","Banks","4.99"
"Jessie","Banks","4.99"
"Jessie","Banks","2.99"
"Jessie","Banks","2.99"
"Jessie","Banks","2.99"
"Jessie","Banks","2.99"
"Jessie","Banks","2.99"
"Jessie","Banks","1.99"
"Jessie","Banks","0.99"
"Jessie","Banks","0.99"
"Jessie","Banks","4.99"
"Jessie","Banks","2.99"
"Jessie","Banks","2.99"
"Jessie","Banks","2.99"
"Jessie","Banks","0.99"
"Jessie","Banks","8.99"
"Jessie","Banks","2.99"
"Jessie","Banks","8.99"
"Jessie","Banks","1.99"
"Jessie","Banks","2.99"
"Jessie","Banks","0.99"
"Jessie","Banks","4.99"
"Jessie","Banks","0.99"
"Clayton","Barbee","4.99"
"Clayton","Barbee","3.99"
"Clayton","Barbee","0.99"
"Clayton","Barbee","2.99"
"Clayton","Barbee","4.99"
"Clayton","Barbee","0.99"
"Clayton","Barbee","3.99"
"Clayton","Barbee","0.99"
"Clayton","Barbee","4.99"
"Clayton","Barbee","2.99"
"Clayton","Barbee","2.99"
"Clayton","Barbee","4.99"
"Clayton","Barbee","6.99"
"Clayton","Barbee","5.99"
"Clayton","Barbee","1.99"
"Clayton","Barbee","0.99"
"Clayton","Barbee","0.99"
"Clayton","Barbee","9.99"
"Clayton","Barbee","0.99"
"Clayton","Barbee","2.99"
"Clayton","Barbee","4.99"
"Angel","Barclay","4.99"
"Angel","Barclay","2.99"
"Angel","Barclay","0.99"
"Angel","Barclay","2.99"
"Angel","Barclay","1.99"
"Angel","Barclay","4.99"
"Angel","Barclay","2.99"
"Angel","Barclay","4.99"
"Angel","Barclay","2.99"
"Angel","Barclay","2.99"
"Angel","Barclay","0.99"
"Angel","Barclay","2.99"
"Angel","Barclay","4.99"
"Angel","Barclay","2.99"
"Angel","Barclay","3.99"
"Angel","Barclay","4.99"
"Angel","Barclay","2.99"
"Angel","Barclay","0.99"
"Angel","Barclay","6.99"
"Angel","Barclay","2.99"
"Angel","Barclay","2.99"
"Angel","Barclay","6.99"
"Angel","Barclay","4.99"
"Angel","Barclay","2.99"
"Angel","Barclay","4.99"
"Angel","Barclay","2.99"
"Angel","Barclay","0.99"
"Angel","Barclay","4.99"
"Nicholas","Barfield","2.99"
"Nicholas","Barfield","2.99"
"Nicholas","Barfield","2.99"
"Nicholas","Barfield","2.99"
"Nicholas","Barfield","2.99"
"Nicholas","Barfield","3.99"
"Nicholas","Barfield","4.99"
"Nicholas","Barfield","6.99"
"Nicholas","Barfield","6.99"
"Nicholas","Barfield","6.99"
"Nicholas","Barfield","2.99"
"Nicholas","Barfield","4.99"
"Nicholas","Barfield","5.99"
"Nicholas","Barfield","11.99"
"Nicholas","Barfield","4.99"
"Nicholas","Barfield","2.99"
"Nicholas","Barfield","8.99"
"Nicholas","Barfield","4.99"
"Nicholas","Barfield","1.99"
"Nicholas","Barfield","5.99"
"Nicholas","Barfield","4.99"
"Nicholas","Barfield","4.99"
"Nicholas","Barfield","4.99"
"Nicholas","Barfield","1.99"
"Nicholas","Barfield","2.99"
"Nicholas","Barfield","2.99"
"Nicholas","Barfield","2.99"
"Nicholas","Barfield","4.99"
"Nicholas","Barfield","0.99"
"Nicholas","Barfield","2.99"
"Nicholas","Barfield","4.99"
"Victor","Barkley","0.99"
"Victor","Barkley","4.99"
"Victor","Barkley","1.99"
"Victor","Barkley","2.99"
"Victor","Barkley","4.99"
"Victor","Barkley","3.99"
"Victor","Barkley","0.99"
"Victor","Barkley","0.99"
"Victor","Barkley","4.99"
"Victor","Barkley","4.99"
"Victor","Barkley","5.99"
"Victor","Barkley","7.99"
"Victor","Barkley","3.99"
"Victor","Barkley","4.99"
"Victor","Barkley","4.99"
"Victor","Barkley","0.99"
"Victor","Barkley","0.99"
"Victor","Barkley","0.99"
"Victor","Barkley","9.99"
"Victor","Barkley","4.99"
"Victor","Barkley","6.99"
"Victor","Barkley","0.99"
"Rachel","Barnes","4.99"
"Rachel","Barnes","2.99"
"Rachel","Barnes","2.99"
"Rachel","Barnes","4.99"
"Rachel","Barnes","2.99"
"Rachel","Barnes","0.99"
"Rachel","Barnes","0.99"
"Rachel","Barnes","2.99"
"Rachel","Barnes","4.99"
"Rachel","Barnes","4.99"
"Rachel","Barnes","4.99"
"Rachel","Barnes","2.99"
"Rachel","Barnes","2.99"
"Rachel","Barnes","5.99"
"Rachel","Barnes","9.99"
"Rachel","Barnes","2.99"
"Rachel","Barnes","1.99"
"Rachel","Barnes","6.99"
"Rachel","Barnes","0.99"
"Carole","Barnett","6.99"
"Carole","Barnett","1.99"
"Carole","Barnett","4.99"
"Carole","Barnett","5.99"
"Carole","Barnett","1.99"
"Carole","Barnett","3.99"
"Carole","Barnett","2.99"
"Carole","Barnett","1.99"
"Carole","Barnett","0.99"
"Carole","Barnett","0.99"
"Carole","Barnett","5.99"
"Carole","Barnett","2.99"
"Carole","Barnett","5.99"
"Carole","Barnett","4.99"
"Carole","Barnett","2.99"
"Carole","Barnett","3.99"
"Carole","Barnett","0.99"
"Carole","Barnett","0.99"
"Carole","Barnett","9.99"
"Carole","Barnett","5.99"
"Carole","Barnett","0.99"
"Carole","Barnett","2.99"
"Carole","Barnett","4.99"
"Carole","Barnett","2.99"
"Carole","Barnett","2.99"
"Tracey","Barrett","9.99"
"Tracey","Barrett","4.99"
"Tracey","Barrett","2.99"
"Tracey","Barrett","4.99"
"Tracey","Barrett","5.99"
"Tracey","Barrett","9.99"
"Tracey","Barrett","4.99"
"Tracey","Barrett","4.99"
"Tracey","Barrett","2.99"
"Tracey","Barrett","4.99"
"Tracey","Barrett","5.99"
"Tracey","Barrett","5.99"
"Tracey","Barrett","4.99"
"Tracey","Barrett","0.99"
"Tracey","Barrett","4.99"
"Tracey","Barrett","0.99"
"Tracey","Barrett","0.99"
"Tracey","Barrett","0.99"
"Tracey","Barrett","7.99"
"Tracey","Barrett","6.99"
"Tracey","Barrett","3.99"
"Tracey","Barrett","0.99"
"Tracey","Barrett","0.99"
"Daisy","Bates","3.99"
"Daisy","Bates","4.99"
"Daisy","Bates","5.99"
"Daisy","Bates","4.99"
"Daisy","Bates","0.99"
"Daisy","Bates","0.99"
"Daisy","Bates","6.99"
"Daisy","Bates","6.99"
"Daisy","Bates","1.99"
"Daisy","Bates","9.99"
"Daisy","Bates","1.99"
"Daisy","Bates","1.99"
"Daisy","Bates","2.99"
"Daisy","Bates","4.99"
"Daisy","Bates","2.99"
"Daisy","Bates","4.99"
"Daisy","Bates","2.99"
"Daisy","Bates","3.99"
"Daisy","Bates","0.99"
"Daisy","Bates","7.99"
"Daisy","Bates","9.99"
"Daisy","Bates","2.99"
"Daisy","Bates","7.99"
"Daisy","Bates","8.99"
"Daisy","Bates","4.99"
"Daisy","Bates","4.99"
"Daisy","Bates","0.99"
"Daisy","Bates","0.99"
"Edward","Baugh","2.99"
"Edward","Baugh","2.99"
"Edward","Baugh","7.99"
"Edward","Baugh","2.99"
"Edward","Baugh","4.99"
"Edward","Baugh","5.99"
"Edward","Baugh","0.99"
"Edward","Baugh","2.99"
"Edward","Baugh","4.99"
"Edward","Baugh","2.99"
"Edward","Baugh","4.99"
"Edward","Baugh","0.99"
"Edward","Baugh","8.99"
"Edward","Baugh","0.99"
"Edward","Baugh","0.99"
"Edward","Baugh","7.99"
"Edward","Baugh","2.99"
"Edward","Baugh","2.99"
"Edward","Baugh","2.99"
"Edward","Baugh","4.99"
"Edward","Baugh","2.99"
"Edward","Baugh","4.99"
"Edward","Baugh","8.99"
"Edward","Baugh","0.99"
"Robert","Baughman","0.99"
"Robert","Baughman","5.99"
"Robert","Baughman","2.99"
"Robert","Baughman","10.99"
"Robert","Baughman","1.99"
"Robert","Baughman","4.99"
"Robert","Baughman","3.99"
"Robert","Baughman","6.99"
"Robert","Baughman","4.99"
"Robert","Baughman","2.99"
"Robert","Baughman","2.99"
"Robert","Baughman","6.99"
"Robert","Baughman","4.99"
"Robert","Baughman","4.99"
"Robert","Baughman","4.99"
"Jean","Bell","4.99"
"Jean","Bell","0.99"
"Jean","Bell","0.99"
"Jean","Bell","4.99"
"Jean","Bell","0.99"
"Jean","Bell","6.99"
"Jean","Bell","8.99"
"Jean","Bell","6.99"
"Jean","Bell","3.99"
"Jean","Bell","2.99"
"Jean","Bell","4.99"
"Jean","Bell","5.99"
"Jean","Bell","6.99"
"Jean","Bell","4.99"
"Jean","Bell","4.99"
"Jean","Bell","4.99"
"Jean","Bell","1.99"
"Jean","Bell","9.99"
"Jean","Bell","4.99"
"Jean","Bell","0.99"
"Jean","Bell","2.99"
"Jean","Bell","2.99"
"Jean","Bell","4.99"
"Jean","Bell","0.99"
"Chester","Benner","2.99"
"Chester","Benner","2.99"
"Chester","Benner","10.99"
"Chester","Benner","4.99"
"Chester","Benner","2.99"
"Chester","Benner","2.99"
"Chester","Benner","6.99"
"Chester","Benner","4.99"
"Chester","Benner","4.99"
"Chester","Benner","6.99"
"Chester","Benner","4.99"
"Chester","Benner","4.99"
"Chester","Benner","0.99"
"Chester","Benner","4.99"
"Chester","Benner","3.99"
"Chester","Benner","0.99"
"Chester","Benner","0.99"
"Chester","Benner","0.99"
"Chester","Benner","4.99"
"Chester","Benner","0.99"
"Chester","Benner","6.99"
"Chester","Benner","4.99"
"Jane","Bennett","4.99"
"Jane","Bennett","3.99"
"Jane","Bennett","8.99"
"Jane","Bennett","2.99"
"Jane","Bennett","0.99"
"Jane","Bennett","2.99"
"Jane","Bennett","0.99"
